Bunny ID,GRID,XYZ,Date XYZ On,XYZ Schedule,Time XYZ On,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Frequency,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off,GPS Dump?,Date XYZ Off,SigA Start,SigA End,SigB Start,SigB End,Time XYZ Off,XYZ Dump,Last Record Date,Notes
Not Deployed,,MP,20-Nov-18,1,19:52:36,AH,20-Nov-18,19:58:57,30,NA,149.77,,,,,,,,,,,,,,,,not deployed
25028,Rolo,HJ,20-Nov-18,1,19:51:04,MT,20-Nov-18,19:58:22,30,NA,149.645,27-Nov-18,~21:45,15-Dec-18,22:30,16-Dec-18,0:59,,16-Dec-18,,,,,0:40,,16-Dec-18,"Kloo pit tag, axy worked well"
Not Deployed,,EC,20-Nov-18,1,19:51:22,NG,20-Nov-18,19:57:04,30,NA,149.57,,,,,,,,,,,,,,,,
24498,Kloo,BA,20-Nov-18,1,19:53:07,ZA,20-Nov-18,19:59:45,30,NA,149.7,21-Nov-18,~12:15,28-Jan-19,9:42,28-Jan-19,already off,,28-Jan-19,,,,,already off,,27-Jan-19,axy worked well
Not Deployed,,XD,25-Nov-18,1,15:09:45,AI,25-Nov-18,15:07:28,30,NA,149.67,,,,,,,,,,,,,,,,not deployed
25206,Jo,CE,25-Nov-18,1,15:10:04,MA,25-Nov-18,15:08:00,30,NA,149.56,27-Nov-18,21:28,6-Dec-18,14:20,6-Dec-18,15:26,Y,6-Dec-18,,,,,15:14,,6-Dec-18,Axy worked well
Not Deployed,,EH,25-Nov-18,1,15:10:19,NG,25-Nov-18,15:08:31,30,NA,149.37,,,,,,,,,,,,,,,,not deployed
Not Deployed,,YE,25-Nov-18,1,15:10:35,HB,25-Nov-18,15:12:18,30,NA,149.57,,,,,,,,,,,,,,,,not deployed
24194,ChadBear,EH,5-Dec-18,1,15:33:23,NG,5-Dec-18,15:55:39,30,NA,149.77,5-Dec-18,~22:15,15-Jan-19,already off,15-Jan-19,7-Dec-18,,15-Jan-19,,,,,23:58:19,NA,15-Jan-19,"axy worked well, but GPS worked only for 2 days"
Not Deployed,,YE,5-Dec-18,1,15:31:42,MK,5-Dec-18,15:56:42,30,NA,149.02,,,,,,,,,,,,,,,,not deployed
24347,Rolo,BH,15-Dec-18,1,16:44:04,MA,15-Dec-18,16:43:44,30,NA,149.547,15-Dec-18,~22:55,20-Dec-18,15:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS and axy were broken by a predator
25038,Rolo,HE,15-Dec-18,1,16:45:00,AO,15-Dec-18,16:43:24,30,NA,149.56,15-Dec-18,22:25,23-Jan-19,0:56,23-Jan-19,already off,,23-Jan-19,,,,,,,NA,axy didn’t work
24335,Kloo,ET,15-Dec-18,1,16:44:23,HB,15-Dec-18,16:43:10,30,NA,149.67,15-Dec-18,23:08,13-Jan-19,22:35,14-Jan-19,0:46,NA,14-Jan-19,,,,,1:01,,14-Jan-19,axy worked well
25219,Kloo,MP,15-Dec-18,1,16:45:20,AH,15-Dec-18,16:42:14,30,NA,149.37,15-Dec-18,23:25,3-Feb-19,19:30,3-Feb-19,already off,,3-Feb-19,,,,,already off,,1-Feb-19,axy worked ell
25028,Rolo,XD,15-Dec-18,1,16:45:43,AI,15-Dec-18,16:41:53,30,NA,149.57,15-Dec-18,22:30,3-Jan-19,16:00,3-Jan-19,17:46:40,NA,3-Jan-19,,,,,17:45:52,NA,3-Jan-19,axy worked well
25050,Kloo,YE,17-Dec-18,1,13:14:52,AX,17-Dec-18,13:15:20,15,NA,149.079,17-Dec-18,22:08,5-Jan-19,14:15,5-Jan-19,15:00,NA,5-Jan-19,,,,,16:27,NA,5-Jan-19,axy worked well
24611,Kloo,HJ alb,17-Dec-18,1,13:15:56,AF,17-Dec-18,13:16:25,15,NA,149.72,17-Dec-18,22:32,11-Feb-19,0:15,11-Feb-19,already off,,11-Feb-19,,,,,1:21,NA,11-Feb-19,axy worked well
22109,Kloo,HA,17-Dec-18,1,13:16:49,AZ,17-Dec-18,13:17:10,15,NA,149.645,17-Dec-18,22:55,24-Jan-19,0:45,24-Jan-19,already off,,24-Jan-19,,,,,1:32,,24-Jan-19,axy worked well
22837,Kloo,MZ,17-Dec-18,1,13:17:32,MT,17-Dec-18,13:17:55,15,NA,149.03,17-Dec-18,22:30,13-Jan-19,22:06,14-Jan-19,already off,,14-Jan-19,,,,,0:57,NA,14-Jan-19,axy worked well
24653,Kloo,CE,17-Dec-18,1,13:18:15,MK,17-Dec-18,13:18:34,15,NA,149.309,17-Dec-18,21:55,13-Jan-19,22:59,14-Jan-19,0:39,NA,14-Jan-19,,,,,0:53,NA,14-Jan-19,axy worked well
Not Deployed,,HI,18-Dec-18,1,14:01:55,AR,18-Dec-18,14:01:08,15,NA,149.814,,,,,,,,,,,,,,,,not deployed
25049,Jo,HB Alb,18-Dec-18,1,14:02:20,NB,18-Dec-18,14:01:29,15,NA,149.34,18-Dec-18,~22:20,27-Jan-19,23:21,27-Jan-19, already off,NA,27-Jan-19,,,,,~ 01:50,NA,28-Jan-19,axy worked well
Not Deployed,,Z1,31-Dec-18,1,15:54:56,HA,31-Dec-18,15:54:58,15,NA,149.665,,,,,,,,,,,,,,,,not deployed
22847,Kloo,XD,4-Jan-19,1,15:16:20,AI,4-Jan-19,15:17:00,15,NA,149.57,4-Jan-19,22:30,8-Feb-19,0:53,8-Feb-19,already off,,8-Feb-19,,,,,2:00,,8-Feb-19,axy worked well
25021,Jo,BO,13-Jan-19,1,17:25:22,HA,13-Jan-19,17:25:46,15,,149.32,18-Jan-19,22:58,4-Feb-19,11:00,4-Feb-19,15:25,,4-Feb-19,,,,,already off,,2-Feb-19,axy worked well
24335,Kloo,YE,13-Jan-19,1,17:26:25,AR,13-Jan-19,17:26:44,15,,149.814,13-Jan-19,22:35,11-Feb-19,0:10,11-Feb-19,already off,,11-Feb-19,,,,,1:34,NA,11-Feb-19,"GPS didn't work properly, but axy orked well"
22837,Kloo,HC,13-Jan-19,1,17:27:12,8,13-Jan-19,17:27:34,15,,149.924,13-Jan-19,22:06,25-Feb-19,11:32,22-Feb-19,already off,,25-Feb-19,,,,,20:22,,25-Feb-19,axy worked well
24653,Kloo,HI,13-Jan-19,1,17:28:38,20,13-Jan-19,17:29:30,15,,149.665,13-Jan-19,22:59,7-Feb-19,1:35,7-Feb-19,already off,,7-Feb-19,,,,,2:11,,7-Feb-19,axy worked well
