"","V1","Date","Forage","Hopping","notmoving","Sprinting","ID"
"37",37,2023-04-15,NA,NA,86400,NA,"26606"
"38",38,2023-04-16,NA,NA,86400,NA,"26606"
"39",39,2023-04-17,NA,NA,86400,NA,"26606"
"40",40,2023-04-18,NA,NA,86400,NA,"26606"
"41",41,2023-04-19,NA,NA,86400,NA,"26606"
"42",42,2023-04-20,NA,NA,86400,NA,"26606"
"43",43,2023-04-21,NA,NA,86400,NA,"26606"
"44",44,2023-04-22,NA,NA,86400,NA,"26606"
"45",1,2023-01-18,23276,488,62568,68,"26658"
"46",2,2023-01-19,12,NA,86388,NA,"26658"
"47",3,2023-01-20,20,4,86376,NA,"26658"
"48",4,2023-01-21,NA,NA,86400,NA,"26658"
"49",5,2023-01-22,24,NA,86376,NA,"26658"
"50",1,2023-01-16,27876,256,58164,104,"26662"
"51",2,2023-01-17,37249,464,48603,84,"26662"
"52",3,2023-01-18,25411,224,60669,96,"26662"
"53",4,2023-01-19,29072,284,56928,116,"26662"
"54",5,2023-01-20,35621,580,50103,96,"26662"
"55",6,2023-01-21,17788,264,68292,56,"26662"
"56",7,2023-01-22,29628,340,56400,32,"26662"
"57",8,2023-01-23,29108,340,56832,120,"26662"
"58",9,2023-01-24,26459,352,59541,48,"26662"
"59",10,2023-01-25,30464,316,55536,84,"26662"
"60",11,2023-01-26,41701,296,44355,48,"26662"
"61",12,2023-01-27,46019,304,40017,60,"26662"
"62",13,2023-01-28,45037,264,41067,32,"26662"
"63",14,2023-01-29,42756,160,43464,20,"26662"
"64",15,2023-01-30,40395,196,45789,20,"26662"
"65",16,2023-01-31,38473,228,47655,44,"26662"
"66",17,2023-02-01,36196,236,49944,24,"26662"
"67",18,2023-02-02,41307,308,44721,64,"26662"
"68",19,2023-02-03,40640,304,45408,48,"26662"
"69",20,2023-02-04,42689,216,43467,28,"26662"
"70",21,2023-02-05,30043,176,56169,12,"26662"
"71",22,2023-02-06,19556,112,66708,24,"26662"
"72",23,2023-02-07,37517,152,48687,44,"26662"
"73",24,2023-02-08,35851,112,50433,4,"26662"
"74",1,2023-01-17,28975,844,56525,56,"26663"
