"","Bunny.ID","GRID","XYZ","Date.XYZ.On","XYZ.Schedule","Time.XYZ.On","GPS","Date.GPS.On","Time.GPS.On","GPS.Schedule","GPS.Delay","Frequency","Date.on.Bunny","Time.on.Bunny","Date.Off.Bunny","Time.off.Bunny","Date.GPS.OFF","Time.GPS.Off","GPS.Dump.","Date.XYZ.Off","SigA.Start","SigA.End","SigB.Start","SigB.End","Time.XYZ.Off","XYZ.Dump","Last.Record.Date","Notes","DateFile","FileName"
"20","22847","Kloo","BO","20-Nov-18",1,"19:53:34","MG","20-Nov-18","19:57:21",30,NA,149.924,"21-Nov-18","12:05","04-Jan-19","22:30","04-Jan-19","already off",NA,"04-Jan-19",NA,NA,NA,NA,"already off","","31-Dec-18","Axy worked well","Jan04_2019","Jan04_2019_BO_22847_1.csv"
"21","23921","Kloo","ET","20-Nov-18",1,"19:53:22","AO","20-Nov-18","19:58:38",30,NA,149.547,"21-Nov-18","~10:30","13-Dec-18","12:35","13-Dec-18","12:35","Y","14-Dec-18",NA,NA,NA,NA,"10:31","","14-Dec-18","Axy worked well","Dec14_2018","Dec14_2018_ET_23921_1.csv"
"22","22109","Kloo","HB","20-Nov-18",1,"19:52:13","HA","20-Nov-18","19:54:48",30,NA,149.34,"25-Nov-18","22:40","17-Dec-18","22:55","18-Dec-18","0:17","","17-Dec-18",NA,NA,NA,NA,"23:45","","17-Dec-18","Axy worked well, but GPS didn't work","Dec17_2018","Dec17_2018_HB_22109_1.csv"
"23","25050","Kloo","HI","20-Nov-18",1,"19:48:40","MV","20-Nov-18","19:55:28",30,NA,149.32,"21-Nov-18","11:46","17-Dec-18","22:08","","","","17-Dec-18",NA,NA,NA,NA,"23:47","","17-Dec-18","Axy worked well, but GPS didn't work","Dec17_2018","Dec17_2018_HI_25050_1.csv"
"24","24653","Kloo","ZI","20-Nov-18",1,"19:51:47","NB","20-Nov-18","19:55:59",30,NA,149.814,"21-Nov-18","12:15","17-Dec-18","21:55","","","","17-Dec-18",NA,NA,NA,NA,"23:51","","17-Dec-18","Axy worked well","Dec17_2018","Dec17_2018_ZI_24653_1.csv"
"25","25028","Rolo","HJ","20-Nov-18",1,"19:51:04","MT","20-Nov-18","19:58:22",30,NA,149.645,"27-Nov-18","~21:45","15-Dec-18","22:30","16-Dec-18","0:59","","16-Dec-18",NA,NA,NA,NA,"0:40","","16-Dec-18","Kloo pit tag, axy worked well","Dec16_2018","Dec16_2018_HJ_25028_1.csv"
"26","24498","Kloo","BA","20-Nov-18",1,"19:53:07","ZA","20-Nov-18","19:59:45",30,NA,149.7,"21-Nov-18","~12:15","28-Jan-19","9:42","28-Jan-19","already off","","28-Jan-19",NA,NA,NA,NA,"already off","","27-Jan-19","axy worked well","Jan28_2019","Jan28_2019_BA_24498_1.csv"
"27","25206","Jo","CE","25-Nov-18",1,"15:10:04","MA","25-Nov-18","15:08:00",30,NA,149.56,"27-Nov-18","21:28","06-Dec-18","14:20","06-Dec-18","15:26","Y","06-Dec-18",NA,NA,NA,NA,"15:14","","06-Dec-18","Axy worked well","Dec06_2018","Dec06_2018_CE_25206_1.csv"
"28","24194","ChadBear","EH","05-Dec-18",1,"15:33:23","NG","05-Dec-18","15:55:39",30,NA,149.77,"05-Dec-18","~22:15","15-Jan-19","already off","15-Jan-19","07-Dec-18","","15-Jan-19",NA,NA,NA,NA,"23:58:19",NA,"15-Jan-19","axy worked well, but GPS worked only for 2 days","Jan15_2019","Jan15_2019_EH_24194_1.csv"
"29","25038","Rolo","HE","15-Dec-18",1,"16:45:00","AO","15-Dec-18","16:43:24",30,NA,149.56,"15-Dec-18","22:25","23-Jan-19","0:56","23-Jan-19","already off","","23-Jan-19",NA,NA,NA,NA,"","",NA,"axy didn’t work","Jan23_2019","Jan23_2019_HE_25038_1.csv"
"30","24335","Kloo","ET","15-Dec-18",1,"16:44:23","HB","15-Dec-18","16:43:10",30,NA,149.67,"15-Dec-18","23:08","13-Jan-19","22:35","14-Jan-19","0:46",NA,"14-Jan-19",NA,NA,NA,NA,"1:01","","14-Jan-19","axy worked well","Jan14_2019","Jan14_2019_ET_24335_1.csv"
"31","25219","Kloo","MP","15-Dec-18",1,"16:45:20","AH","15-Dec-18","16:42:14",30,NA,149.37,"15-Dec-18","23:25","03-Feb-19","19:30","03-Feb-19","already off","","03-Feb-19",NA,NA,NA,NA,"already off","","01-Feb-19","axy worked ell","Feb03_2019","Feb03_2019_MP_25219_1.csv"
"32","25028","Rolo","XD","15-Dec-18",1,"16:45:43","AI","15-Dec-18","16:41:53",30,NA,149.57,"15-Dec-18","22:30","03-Jan-19","16:00","03-Jan-19","17:46:40",NA,"03-Jan-19",NA,NA,NA,NA,"17:45:52",NA,"03-Jan-19","axy worked well","Jan03_2019","Jan03_2019_XD_25028_1.csv"
"33","25050","Kloo","YE","17-Dec-18",1,"13:14:52","AX","17-Dec-18","13:15:20",15,NA,149.079,"17-Dec-18","22:08","05-Jan-19","14:15","05-Jan-19","15:00",NA,"05-Jan-19",NA,NA,NA,NA,"16:27",NA,"05-Jan-19","axy worked well","Jan05_2019","Jan05_2019_YE_25050_1.csv"
"34","24611","Kloo","HJ alb","17-Dec-18",1,"13:15:56","AF","17-Dec-18","13:16:25",15,NA,149.72,"17-Dec-18","22:32","11-Feb-19","0:15","11-Feb-19","already off","","11-Feb-19",NA,NA,NA,NA,"1:21",NA,"11-Feb-19","axy worked well","Feb11_2019","Feb11_2019_HJ alb_24611_1.csv"
"35","22109","Kloo","HA","17-Dec-18",1,"13:16:49","AZ","17-Dec-18","13:17:10",15,NA,149.645,"17-Dec-18","22:55","24-Jan-19","0:45","24-Jan-19","already off","","24-Jan-19",NA,NA,NA,NA,"1:32","","24-Jan-19","axy worked well","Jan24_2019","Jan24_2019_HA_22109_1.csv"
"36","22837","Kloo","MZ","17-Dec-18",1,"13:17:32","MT","17-Dec-18","13:17:55",15,NA,149.03,"17-Dec-18","22:30","13-Jan-19","22:06","14-Jan-19","already off","","14-Jan-19",NA,NA,NA,NA,"0:57",NA,"14-Jan-19","axy worked well","Jan14_2019","Jan14_2019_MZ_22837_1.csv"
"37","24653","Kloo","CE","17-Dec-18",1,"13:18:15","MK","17-Dec-18","13:18:34",15,NA,149.309,"17-Dec-18","21:55","13-Jan-19","22:59","14-Jan-19","0:39",NA,"14-Jan-19",NA,NA,NA,NA,"0:53",NA,"14-Jan-19","axy worked well","Jan14_2019","Jan14_2019_CE_24653_1.csv"
"38","25049","Jo","HB Alb","18-Dec-18",1,"14:02:20","NB","18-Dec-18","14:01:29",15,NA,149.34,"18-Dec-18","~22:20","27-Jan-19","23:21","27-Jan-19"," already off",NA,"27-Jan-19",NA,NA,NA,NA,"~ 01:50",NA,"28-Jan-19","axy worked well","Jan27_2019","Jan27_2019_HB Alb_25049_1.csv"
"39","22847","Kloo","XD","04-Jan-19",1,"15:16:20","AI","04-Jan-19","15:17:00",15,NA,149.57,"04-Jan-19","22:30","08-Feb-19","0:53","08-Feb-19","already off","","08-Feb-19",NA,NA,NA,NA,"2:00","","08-Feb-19","axy worked well","Feb08_2019","Feb08_2019_XD_22847_1.csv"
"40","25021","Jo","BO","13-Jan-19",1,"17:25:22","HA","13-Jan-19","17:25:46",15,NA,149.32,"18-Jan-19","22:58","04-Feb-19","11:00","04-Feb-19","15:25","","04-Feb-19",NA,NA,NA,NA,"already off","","02-Feb-19","axy worked well","Feb04_2019","Feb04_2019_BO_25021_1.csv"
